_id,startTimeWorkflowStart,endTimeWorkflowStart,roundTripTimeWorkflowStart,startTimeWorkflowEnd,endTimeWorkflowEnd,roundTripTimeWorkflowEnd,provider,concurrentFunctions,execution,functionName,functionCount,workflow_id,function_id,region,roundTripTime,endTime,startTime,details,succeed
6705522e0ef8266e9142690b,2024-10-08 15:39:23.220,2024-10-08 15:39:23.220,0,2024-10-08 15:39:23.220,2024-10-08 15:39:26.162,2942,GCP,3,1,TestFunction,3,1728401963221,6705522e0ef8266e9142690c,us-east4,1096,2024-10-08 15:39:25.250,2024-10-08 15:39:24.154,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ""[['1'],['2'],['4']]"", 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
6705522e0ef8266e9142690b,2024-10-08 15:39:23.220,2024-10-08 15:39:23.220,0,2024-10-08 15:39:23.220,2024-10-08 15:39:26.162,2942,GCP,3,1,TestFunction,3,1728401963221,6705522e0ef8266e9142690d,us-east4,1909,2024-10-08 15:39:26.061,2024-10-08 15:39:24.152,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ""[['1'],['2'],['4']]"", 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
6705522e0ef8266e9142690b,2024-10-08 15:39:23.220,2024-10-08 15:39:23.220,0,2024-10-08 15:39:23.220,2024-10-08 15:39:26.162,2942,GCP,3,1,TestFunction,3,1728401963221,6705522e0ef8266e9142690e,us-east4,1917,2024-10-08 15:39:26.069,2024-10-08 15:39:24.152,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ""[['1'],['2'],['4']]"", 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': '[true,false,true]', 'is_valid': False}}",False
6705523103edc8358abebab0,2024-10-08 15:39:27.332,2024-10-08 15:39:27.332,0,2024-10-08 15:39:27.332,2024-10-08 15:39:28.964,1632,GCP,1,1,TestFunction,1,1728401967334,6705523103edc8358abebab1,us-west1,665,2024-10-08 15:39:28.799,2024-10-08 15:39:28.134,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
67055234832c4959f2356836,2024-10-08 15:39:30.257,2024-10-08 15:39:30.257,0,2024-10-08 15:39:30.257,2024-10-08 15:39:31.847,1590,GCP,1,2,TestFunction,1,1728401970258,67055234832c4959f2356837,us-west1,733,2024-10-08 15:39:31.754,2024-10-08 15:39:31.021,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
670552374e0b1d3b6991f775,2024-10-08 15:39:32.998,2024-10-08 15:39:32.998,0,2024-10-08 15:39:32.998,2024-10-08 15:39:35.228,2230,GCP,1,3,TestFunction,1,1728401973000,670552374e0b1d3b6991f776,us-west1,1237,2024-10-08 15:39:35.147,2024-10-08 15:39:33.910,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
6705523a0e432a6312a61d74,2024-10-08 15:39:36.275,2024-10-08 15:39:36.275,0,2024-10-08 15:39:36.275,2024-10-08 15:39:38.470,2195,GCP,1,4,TestFunction,1,1728401976277,6705523a0e432a6312a61d75,us-west1,1278,2024-10-08 15:39:38.383,2024-10-08 15:39:37.105,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
6705530785fae60c1fde2bbe,2024-10-08 15:43:01.959,2024-10-08 15:43:01.959,0,2024-10-08 15:43:01.959,2024-10-08 15:43:03.662,1703,GCP,1,1,TestFunction,1,1728402181961,6705530785fae60c1fde2bbf,us-west1,834,2024-10-08 15:43:03.584,2024-10-08 15:43:02.750,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
6705530ad89f184c914a1b47,2024-10-08 15:43:05.112,2024-10-08 15:43:05.112,0,2024-10-08 15:43:05.112,2024-10-08 15:43:06.572,1460,GCP,1,2,TestFunction,1,1728402185114,6705530ad89f184c914a1b48,us-west1,591,2024-10-08 15:43:06.490,2024-10-08 15:43:05.899,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
6705530d0f0d867f82b46c95,2024-10-08 15:43:07.621,2024-10-08 15:43:07.621,0,2024-10-08 15:43:07.621,2024-10-08 15:43:09.182,1561,GCP,1,3,TestFunction,1,1728402187623,6705530d0f0d867f82b46c96,us-west1,620,2024-10-08 15:43:09.092,2024-10-08 15:43:08.472,"{'input_file_size': {'value': 3000, 'is_valid': True}, 'input_file_characters': {'value': 3000, 'is_valid': True}, 'language': {'value': 'en-US', 'is_valid': True}, 'test_collection_of_int': {'value': ['1', '2', '4'], 'is_valid': False}, 'test_collection_of_string': {'value': ['3', '3', '5'], 'is_valid': True}, 'test_collection_of_bool': {'value': ['true', 'false', 'true'], 'is_valid': False}}",False
